million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
determinant,"n. 决定因素； 行列式
adj. 决定性的"
disjunction,n. 分离；析取；分裂；折断
masterpiece,n. 杰作；绝无仅有的人
persistence,n. 持续；固执；存留；坚持不懈；毅力
portability,n.  可移植性；轻便；可携带性
punctuation,n. 标点；标点符号
restoration,n. 恢复；复位；王政复辟；归还
ventilation,n. 通风设备；空气流通
abbreviation,n. 缩写；缩写词
encyclopedia,n. 百科全书（亦是encyclopaedia）
installation,n. 安装，装置；就职
supercluster,n.  超星系团
effectiveness,n. 效力
mechanization,n. 机械化；机动化
sequestration,n. 隔离；扣押；退隐
microprocessor,n.  微处理器
misinformation,n. 误报；错误的消息
diversification,n. 多样化；变化
tale,n. 故事；传说；叙述；流言蜚语
debut,"n. 初次登台；开张
vi. 初次登台"
epoch,n.  世；新纪元；新时代；时间上的一点
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
fraud,n. 欺骗；骗子；诡计
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
rumor,"n. 谣言；传闻
vt. 谣传；传说"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
burner,n. 燃烧器；火炉； 燃烧炉；灯头
domain,n. 领域；域名；产业；地产
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
gospel,"n. 真理；信条
adj. 传播福音的；福音赞美诗的"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
payout,n. 支出；花费
sewing,"n. 缝纫；缝纫业
v. 缝（sew的ing形式）"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
culprit,n. 犯人，罪犯；被控犯罪的人
daytime,n. 日间，白天
dealing,n. 交易；行为
deficit,n. 赤字；不足额
destiny,n. 命运，定数，天命
factoid,"n. 仿真陈述（仅因出现在出版物上而被信以为真）
adj. 虚构的；似是而非的"
handful,n. 少数；一把；棘手事
harmony,n. 协调；和睦；融洽；调和
headway,n. 前进；进步；航行速度；间隔时间
midwest,
nucleus,n. 核，核心；原子核
proverb,n. 谚语，格言；众所周知的人或事
realism,n. 现实主义；实在论；现实主义的态度和行为
removal,n. 免职；移动；排除；搬迁
rollout,n. 首次展示； 滑跑（飞机着陆时在跑道上滑跑减速的阶段）
scenery,n. 风景；景色；舞台布景
aviation,n. 航空；飞行术；飞机制造业
breakout,n. 爆发；突围；越狱；脱逃
casualty,n. 意外事故；伤亡人员；急诊室
coverage,n. 覆盖，覆盖范围；新闻报道
deletion,n. 删除； 缺失；删除部分
diabetes,n. 糖尿病；多尿症
drawback,n. 缺点，不利条件；退税
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
fairness,n. 公平；美好；清晰；顺利性
fraction,n. 分数；部分；小部分；稍微
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
inequity,n. 不公平，不公正
intranet,n. 内联网；企业内部网
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
metaphor,n. 暗喻，隐喻；比喻说法
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
overload,"vt. 超载，超过负荷
n. 超载；负荷过多"
reversal,n. 逆转； 反转； 撤销
scarcity,n. 不足；缺乏
scenario,n. 方案；情节；剧本；设想
tailwind,n. 顺风
ugliness,n. 丑陋，丑陋之物
vitality,n. 活力，生气；生命力，生动性
windfall,n. 意外之财；被风吹落的果子；意外的收获
aftermath,n. 后果；余波
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
catchword,n. 标语，口号；流行语；口头禅
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
depletion,n. 消耗；损耗；放血
diversion,n. 转移；消遣；分散注意力
dominance,n. 优势；统治；支配
exclusion,n. 排除；排斥；驱逐；被排除在外的事物
execution,n. 执行，实行；完成；死刑
fertility,n. 多产；肥沃； 生产力；丰饶
forefront,n. 最前线，最前部；活动的中心
framework,n. 框架，骨架；结构，构架
frequency,n. 频率；频繁
harshness,n. 严肃；刺耳；粗糙的事物
injection,n. 注射；注射剂；充血；射入轨道
injustice,n. 不公正；不讲道义
interplay,"n. 相互影响，相互作用
vi. 相互影响，相互作用"
isolation,n. 隔离；孤立； 绝缘； 离析
nighttime,"n. 夜间
adj. 夜间的；夜里发生的"
northeast,"adj. 东北的；向东北的；来自东北的
n. 东北
adv. 向东北；来自东北"
proximity,n. 接近，邻近；接近；接近度，距离；亲近
relevance,n. 关联；适当；中肯
roadblock,"n. 路障；障碍物
vi. 设置路障"
shortfall,n. 差额；缺少
shrinkage,n. 收缩；减低
absorption,n. 吸收；全神贯注，专心致志
alteration,n. 修改，改变；变更
bankruptcy,n. 破产
conception,n. 怀孕；概念；设想；开始
distortion,n. 变形； 失真；扭曲；曲解
embodiment,n. 体现；化身；具体化
exhaustion,n. 枯竭；耗尽；精疲力竭
inaccuracy,n. 错误；不精确
indication,n. 指示，指出；迹象；象征
inducement,n. 诱因，刺激物
mediocrity,n. 平庸之才；平常
millimeter,n.  毫米
misfortune,n. 不幸；灾祸，灾难
mutability,n. 易变性；性情不定；突变性
parliament,n. 议会，国会
perfection,n. 完善；完美
perpetuity,n. 永恒
refinement,n. 精制；文雅； 提纯
stagnation,n. 停滞；滞止
turbulence,n. 骚乱，动荡； 湍流；狂暴
uniformity,n. 均匀性；一致；同样
abnormality,n. 异常；畸形，变态
advancement,n. 前进，进步；提升
affiliation,n. 友好关系；加入；联盟；从属关系
alleviation,n. 缓和；镇痛物
antigravity,n. 无重量； 耐重力；漂浮
consistency,n.  一致性；稠度；相容性
degradation,n. 退化；降格，降级；堕落
demographic,adj. 人口统计学的；人口学的
deprivation,n. 剥夺；损失；免职；匮乏；贫困
destination,n. 目的地，终点
destruction,n. 破坏，毁灭；摧毁
elimination,n. 消除；淘汰；除去
enhancement,n. 增加；放大
fingerprint,"n. 指纹；手印
vt. 采指纹"
inconstancy,n. 反复无常，易变；不定性
inferiority,n. 自卑；下属；次等；下部
instability,n. 不稳定（性）；基础薄弱；不安定
measurement,n. 测量； 度量；尺寸；量度制
progression,n. 前进；连续
renaissance,n. 文艺复兴（欧洲14至17世纪）
romanticism,n. 浪漫主义；浪漫精神
shortcoming,n. 缺点；短处
termination,n. 结束，终止
utilisation,n. 使用（等于utilization）；利用
workstation,n. 工作站
accumulation,n. 积聚，累积；堆积物
displacement,n. 取代，位移； 排水量
immunization,n. 免疫
inefficiency,n. 效率低；无效率；无能
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
multiplicity,n. 多样性； 多重性
precondition,"n. 前提；先决条件
vt. 预处理；事先准备"
presentation,n. 展示；描述，陈述；介绍；赠送
stranglehold,n. 束缚；勒颈
subscription,n. 捐献；订阅；订金；签署
accommodation,n. 住处，膳宿；调节；和解；预订铺位
biotechnology,n.  生物技术； 生物工艺学
contradiction,n. 矛盾；否认；反驳
deceptiveness,n. 虚伪；迷惑骗人
fashionedness, 样式；风格
unreliability,n. 不可靠，不可信赖；不安全
vulnerability,n. 易损性；弱点
centralization,n. 集中化；中央集权管理
classification,n. 分类；类别，等级
generalization,n. 概括；普遍化；一般化
implementation,n.  实现；履行；安装启用
predictability,n. 可预测性；可预言
commonplaceness,n. 老生常谈；司空见惯的事；普通的东西 (commonplace的变形)
differentiation,n. 变异， 分化；区别
distinctiveness,n. 特殊性；区别性；辨别性
miniaturization,n. 小型化，微型化
unsustainability,不可持续性
telecommunications,n. 通讯行业：服务类型变更，缴纳话费，账户总览等所有业务均可通过移动设备完成
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
mow,"n. 草堆；皱眉；谷堆
vt. 割草；收割庄稼
vi. 割草；收割庄稼"
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
bury,vt. 埋葬；隐藏
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
adorn,vt. 装饰；使生色
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
amass,vt. 积聚，积累
amuse,vt. 娱乐；消遣；使发笑；使愉快
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
enact,vt. 颁布；制定法律；扮演；发生
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
evoke,vt. 引起，唤起；博得
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
liken,vt. 比拟；把…比作
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
mourn,v. 哀悼；忧伤；服丧
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
repel,vt. 击退；抵制；使厌恶；使不愉快
rifle,"n. 步枪；来复枪
vt. 用步枪射击；抢夺；偷走"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
upend,vt. 倒放，颠倒；竖立
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
allege,vt. 宣称，断言；提出…作为理由
aspire,vi. 渴望；立志；追求
bisect,"vt. 平分；二等分
vi. 横贯；一分为二"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
codify,vt. 编纂；将...编成法典；编成法典
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
curate,"n. 助理牧师；副牧师
vt. 当(博物馆、美术馆、图书馆)馆长"
denote,vt. 表示，指示
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
equate,"vt. 使相等；视为平等
vi. 等同"
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
fizzle,"n. 失败；嘶嘶声
vi. 失败；发嘶嘶声；萎靡"
forbid,vt. 禁止；不准；不允许；严禁
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
impair,vt. 损害；削弱；减少
impart,vt. 给予（尤指抽象事物），传授；告知，透露
induce,vt. 诱导；引起；引诱；感应
infect,vt. 感染，传染
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
notify,vt. 通告，通知；公布
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
overdo,"vt. 把…做得过分；使过于疲劳；对…表演过火；夸张
vi. 做得过分；表演过火"
paddle,"n. 划桨；明轮翼
vt. 拌；搅；用桨划
vi. 划桨；戏水；涉水"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
remold,vt. 改造；改铸
rename,vt. 重新命名，改名
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
summon,vt. 召唤；召集；鼓起；振作
typify,vt. 代表；作为…的典型；具有…的特点
unpick,vt. 拆散；拆开；割开
unplug,vt. 去掉…的障碍物；拔去…的塞子或插头
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
appease,vt. 使平息；使满足；使和缓；对…让步
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
blacken,"vt. 使变黑；诽谤，诋毁
vi. 变黑"
bolster,"n. 支持；长枕
vt. 支持；支撑"
bombard,"n. 射石炮
vt. 轰炸；炮击"
certify,v. 证明；保证
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
cofound,"v. 共同创立
 联合发起；共同建立；共同投资"
compile,vt. 编译；编制；编辑； 汇编
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
despise,vt. 轻视，鄙视
disable,vt. 使失去能力；使残废；使无资格
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
furnish,vt. 提供；供应；装备
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
horrify,vt. 使恐惧；惊骇；使极度厌恶
immerse,vt. 沉浸；使陷入
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
install,vt. 安装；任命；安顿
lighten,"vi. 减轻；发亮
vt. 使照亮；使轻松"
outmode,vt. 使过时
overbid,"vt. 报谎价；出价较…为高
vi. 过高出价
n. 高价；谎价"
overpay,"vt. 多付；多给报酬
vi. 多付"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
overtax,vt. 负担过度（过去式overtaxed，过去分词overtaxed，现在分词overtaxing，第三人称单数overtaxes，名词overtaxation）； 课税过重；使工作过度
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
provoke,vt. 驱使；激怒；煽动；惹起
readmit,vt. 重新接纳
recount,"n. 重算
vt. 叙述；重新计算"
rectify,vt. 改正；精馏；整流
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
reframe,vt. 再构造，再组织；重新制订；给……装上新框架
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
restate,vt. 重申；重新叙述；重讲
retrain,"vt. 重新教育；再教育
vi. 再训练；再教育"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
succumb,vi. 屈服；死；被压垮
testify,"vi. 作证；证明
vt. 证明，证实；作证"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
befriend,vt. 帮助；待人如友；扶助
brighten,"vt. 使闪亮；使生辉；使快乐高兴
vi. 明亮；变亮；活跃；快乐高兴"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
comprise,vt. 包含；由…组成
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
disclaim,"vt. 否认，拒绝；放弃，弃权；拒绝承认
vi. 否认；放弃；弃权"
dishonor,"n. 拒付；不名誉；丢脸
vt. 使蒙羞；玷辱"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
energise,vt. 供给…能量；使精力充沛（等于energize）
entrench,"vt. 确立，牢固；用壕沟围住；挖掘
vi. 侵犯；挖掘壕沟"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
finalize,"vt. 完成；使结束
vi. 把最后定下来；定案"
imprison,vt. 监禁；关押；使…下狱
insulate,vt. 隔离，使孤立；使绝缘，使隔热
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
lengthen,"vt. 使延长；加长
vi. 延长；变长"
maximise,vt. 把…增加到最大限度；尽量增大（等于maximize）
minimise,vt. 使缩到最小；成极小；求最小值
misapply,vt. 误用，滥用
misguide,vt. 误导；使误入歧途
mistrust,"vt. 不信任；怀疑
vi. 不信任；怀疑
n. 不信任；怀疑"
monetize,vt. 定为货币，使成为合法货币；铸造成货币
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
overfund, 对…提供充足资金；过度融资
overheat,"vi. 过热；愤怒起来
vt. 使过热；使愤怒
n. 过热；激烈"
overrate,vt. 过高估计；对…估价过高
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
penalize,vt. 处罚；处刑；使不利
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
proclaim,vt. 宣告，公布；声明；表明；赞扬
readjust,"vt. 使…重新调整；使…重新适应
vi. 再调整；重新适应"
reassess,vt. 再评价；再课税；再摊派
redefine,vt. 重新定义
redirect,"n. 再直接询问
vt. 使改方向；重新寄送
adj. 再直接的"
rehearse,"vt. 排练；预演
vi. 排练；演习"
renovate,vt. 更新；修复；革新；刷新
retrofit,"n. 式样翻新；花样翻新
vt. 改进； 更新；式样翻新"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
theorize,"vt. 建立理论
vi. 建立理论或学说；推理"
