data,n. 数据（datum的复数）；资料
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
managerial,adj.  管理的；经理的
obtainable,adj. 能得到的
persuasive,adj. 有说服力的；劝诱的，劝说的
protective,adj. 防护的；关切保护的；保护贸易的
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
structural,adj. 结构的；建筑的
successive,adj. 连续的；继承的；依次的；接替的
underwater,"n. 水下
adj. 在水中的；水面下的
adv. 在水下"
unfeasible,adj. 难实施的，不能实行的
unprepared,adj. 无准备的；即席的；尚未准备好的
distasteful,adj. 令人不快的；不合口味的；表示厌恶的
distinctive,adj. 有特色的，与众不同的
existential,adj. 存在主义的；有关存在的；存在判断的
explanatory,adj. 解释的；说明的
fashionable,adj. 流行的；时髦的；上流社会的
grammatical,adj. 文法的；符合语法规则的
imaginative,adj. 富于想象的；有创造力的
inefficient,adj. 无效率的，效率低的；无能的
intentional,adj. 故意的；蓄意的；策划的
interactive,adj. 交互式的；相互作用的
meaningless,adj. 无意义的；无目的的
mechanistic,adj. 机械论的；机械学的
overcrowded,"adj. 过度拥挤的
v. 拥挤（overcrowd的过去分词）"
paradoxical,adj. 矛盾的；诡论的；似非而是的
prehistoric,adj. 史前的；陈旧的
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
regrettable,adj. 令人遗憾的；可惜的；可悲的；抱歉的
restrictive,"n. 限制词
adj. 限制的；限制性的；约束的"
speculative,adj. 投机的；推测的；思索性的
spontaneous,adj. 自发的；自然的；无意识的
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
unfavorable,adj. 不宜的；令人不快的；不顺利的
unsurpassed,adj. 非常卓越的；未被超越的
biographical,adj. 传记的，传记体的
contemptible,adj. 可鄙的；卑劣的；可轻视的
geographical,adj. 地理的；地理学的
governmental,adj. 政府的；政治的；统治上的
inflationary,adj. 通货膨胀的；通货膨胀倾向的；通货膨胀引起的
mathematical,adj. 数学的，数学上的；精确的
quantitative,adj. 定量的；量的，数量的
questionable,adj. 可疑的；有问题的
unchallenged,adj. 不成问题的；未引起争论的； 不回避的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
groundbreaking,"n. 动工
adj. 开创性的"
jointly,adv. 共同地；连带地
morally,adv. 道德上；有道德地；确实地
abruptly,adv. 突然地；唐突地
downhill,"n. 下坡；滑降
adj. 下坡的；容易的
adv. 下坡；向下；每况愈下"
flexibly,adv. 灵活地；易曲地；柔软地；有弹性地
steadily,adv. 稳定地；稳固地；有规则地
verbally,adv. 口头地，非书面地；用言辞地
doubtless,"adj. 无疑的；确定的
adv. 无疑地；确定地；大概，多半"
genuinely,adv. 真诚地；诚实地
partially,adv. 部分地；偏袒地
helplessly,adv. 无助地；无能为力地
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
runway,n. 跑道；河床；滑道
bidding,n. 投标；出价；命令
clarity,n. 清楚，明晰；透明
infancy,n. 初期；婴儿期；幼年
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
vacancy,n. 空缺；空位；空白；空虚
backdrop,n. 背景；背景幕；交流声
defender,n. 防卫者，守卫者；辩护者；拥护者；卫冕者
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
assertion,n. 断言，声明；主张，要求；坚持；认定
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
reception,n. 接待；接收；招待会；感受；反应
residence,n. 住宅，住处；居住
restraint,n. 抑制，克制；约束
contention,n. 争论，争辩；争夺；论点
inadequacy,n. 不适当，不充分；不完全；不十分
resolution,n.  分辨率；决议；解决；决心
suspension,n. 悬浮；暂停；停职
triviality,n. 浅薄，轻浮；琐事；平凡
turnaround,n. 转变；转向；突然好转；回车道
withdrawal,n. 撤退，收回；提款；取消；退股
formulation,n. 构想，规划；公式化；简洁陈述
maintenance,n. 维护，维修；保持；生活费用
neighborhood,n. 附近；街坊；接近；街区
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
confer,"vt. 授予；给予
vi. 协商"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
devalue,"vt. 使贬值；降低…的价值
vi. 贬值"
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
patronize,vt. 以高人一等的态度对待；经常光顾，惠顾；资助；保护
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
discourage,vt. 阻止；使气馁
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
popularize,"vt. 普及；使通俗化
vi. 通俗化"
prioritize,"vt. 把…区分优先次序
vi. 把事情按优先顺序排好"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
toxic,adj. 有毒的；中毒的
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
finite,"n. 有限之物
adj. 有限的；限定的"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
dreadful,adj. 可怕的；糟透的，令人不快的
poisonous,adj. 有毒的；恶毒的；讨厌的
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
elementary,adj. 基本的；初级的； 元素的
functional,adj. 功能的
generative,adj. 生殖的；生产的；有生殖力的；有生产力的
measurable,adj. 可测量的；重要的；重大的
continental,"n. 欧洲人
adj. 大陆的；大陆性的"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
appreciative,adj. 感激的；赏识的；有欣赏力的；承认有价值的
readily,adv. 容易地；乐意地；无困难地
dazzlingly,adv. 耀眼地；灿烂地
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
editorial,"n. 社论
adj. 编辑的；社论的"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
albeit,conj. 虽然；即使
foe,n. 敌人；反对者；危害物
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
plea,n. 恳求，请求；辩解，辩护；借口，托辞
zeal,n. 热情；热心；热诚
agony,n. 苦恼；极大的痛苦；临死的挣扎
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
dogma,n. 教条，教理；武断的意见
forum,n. 论坛，讨论会；法庭；公开讨论的广场
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
errand,n. 使命；差事；差使
framer,n. 组成者；筹划者
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
outcry,n. 强烈抗议；大声疾呼；尖叫；倒彩
prayer,n. 祈祷，祷告；恳求；祈祷文
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
satire,n. 讽刺；讽刺文学，讽刺作品
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
stance,n. 立场；姿态；位置；准备击球姿势
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
adviser,n. 顾问；劝告者；指导教师（等于advisor）
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
bravery,n. 勇敢；勇气
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
dweller,n. 居民，居住者
elitism,n. 精英主义；杰出人物统治论
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
haircut,n. 理发；发型
hostage,n. 人质；抵押品
insider,n. 内部的人，会员；熟悉内情者
laborer,n. 劳动者；工人
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
misdeed,n. 罪行；犯罪
prophet,n. 先知；预言者；提倡者
proverb,n. 谚语，格言；众所周知的人或事
refusal,n. 拒绝；优先取舍权；推却；取舍权
rivalry,n. 竞争；对抗；竞赛
scandal,n. 丑闻；流言蜚语；诽谤；公愤
seminar,n. 讨论会，研讨班
upstart,"n. 暴发户；自命不凡的人；傲慢自负的人
adj. 暴富的；自命不凡的
vt. 使…突然跳起；使…崛起
vi. 突然跳起；崛起"
warrior,n. 战士，勇士；鼓吹战争的人
advocacy,n. 主张；拥护；辩护
anecdote,n. 轶事；奇闻；秘史
attendee,n. 出席者；在场者
attorney,n. 律师；代理人；检查官
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
civility,n. 礼貌；礼仪；端庄
colonist,"n. 殖民者；殖民地居民；移民
adj. 殖民主义者的；奉行殖民主义的"
composer,n. 作曲家；作家，著作者；设计者
defiance,n. 蔑视；挑战；反抗
devotion,n. 献身，奉献；忠诚；热爱
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
dynamism,n. 活力；动态；物力论；推动力；精神动力作用
graphics,n.  制图学；制图法；图表算法
humility,n. 谦卑，谦逊
idealism,n. 唯心主义，理想主义；理念论
intimacy,n. 性行为；亲密；亲昵行为；隐私
invasion,n. 入侵，侵略；侵袭；侵犯
inventor,n. 发明家； 发明人；创造者
landlord,n. 房东，老板；地主
latitude,n. 纬度；界限；活动范围
lawmaker,n. 立法者
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
ministry,n. （政府的）部门
moralist,n. 道德家；伦理学者
morality,n. 道德；品行，美德
pedagogy,n. 教育；教育学；教授法
physique,n. 体格，体形
populace,n. 大众；平民；人口
satirist,n. 讽刺作家；爱挖苦的人
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
unionism,n. 工会主义；联合主义；联邦主义
vitality,n. 活力，生气；生命力，生动性
workmate,n. 同事；工友
adherence,n. 坚持；依附；忠诚
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
analytics,n.  分析学；解析学
archivist,n. 案卷保管人；档案保管员
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
bloodline,n. 血统；种系
clergyman,n. 牧师；教士
clientele,n. 客户；诉讼委托人
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
deception,n. 欺骗，欺诈；骗术
deference,n. 顺从；尊重
dentistry,n. 牙科学；牙医业
detection,n. 侦查，探测；发觉，发现；察觉
detective,"n. 侦探
adj. 侦探的"
diagnosis,n. 诊断
diplomacy,n. 外交；外交手腕；交际手段
disbelief,n. 怀疑，不信
diversion,n. 转移；消遣；分散注意力
endurance,n. 忍耐力；忍耐；持久；耐久
ethnicity,n. 种族划分
falsehood,n. 说谎；假话；不真实；错误的信仰
feudalism,n. 封建主义；封建制度
foresight,n. 先见，远见；预见；深谋远虑
guesswork,n. 猜测；臆测；凭猜测所作之工作
hesitancy,n. 踌躇，犹豫
hypocrisy,n. 虚伪；伪善
inheritor,n. 继承人；后继者
initiator,n. 发起人，创始者；教导者； 启动程序；引爆器
injection,n. 注射；注射剂；充血；射入轨道
innovator,n. 改革者，创新者
intrusion,n. 侵入；闯入
judiciary,"n. 司法部；法官；司法制度
adj. 司法的；法官的；法院的"
manifesto,"n. 宣言；声明；告示
vi. 发表宣言"
messenger,n. 报信者，送信者；先驱
obsession,n. 痴迷；困扰； 强迫观念
patronage,n. 赞助；光顾；任免权
pensioner,n. 领养老金者；领取抚恤金者
playgoing,n. 看戏
protector,n. 保护器；保护者；保护装置；防御者
purchaser,n. 买方；购买者
readiness,n. 敏捷，迅速；准备就绪；愿意
rejection,n. 抛弃；拒绝；被抛弃的东西；盖帽
retrieval,n. 检索；恢复；取回；拯救
shorthand,"n. 速记；速记法
adj. 速记法的"
signature,n. 署名；签名；信号
terrorism,n. 恐怖主义；恐怖行动；恐怖统治
therapist,n. 临床医学家；治疗学家
utterance,n. 表达；说话；说话方式
vengeance,n. 复仇；报复；报仇
violation,n. 违反；妨碍，侵害；违背；强奸
visionary,"n. 空想家；梦想者；有眼力的人
adj. 梦想的；幻影的"
zoologist,n. 动物学家
absolutist,n. 绝对论者；专制主义者
accountant,n. 会计师；会计人员
accusation,n. 控告，指控；谴责
admiration,n. 钦佩；赞赏；羡慕；赞美
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
aristocrat,n. 贵族
biographer,n. 传记作者
bookseller,n. 书商；售书员
bureaucrat,n. 官僚；官僚主义者
childbirth,n. 分娩
classicist,n. 古典主义者；古典学者
compulsion,n. 强制；强迫；强制力
concession,n. 让步；特许（权）；承认；退位
conspiracy,n. 阴谋；共谋；阴谋集团
contractor,n. 承包人；立契约者
dealership,n. 代理权；代理商；经销权
disclosure,n.  披露；揭发；被揭发出来的事情
discoverer,n. 发现者
dishonesty,n. 不诚实；欺诈；不正直
disrespect,n. 无礼，失礼，不敬
disservice,n. 伤害；帮倒忙的行为；不亲切的行为；虐待
editorship,n. 编辑；校订；编辑或主笔地位
emigration,n. 移民；移民出境；移居外国
extraction,n. 取出；抽出；拔出；抽出物；出身
fieldcraft, 作战技术
geneticist,n. 遗传学者
headhunter,n. 猎头者；物色人才的人；猎取人头的蛮人
indulgence,n. 嗜好；放纵；纵容；沉溺
initiation,n. 启蒙，传授；开始；入会
insistence,n. 坚持，强调；坚决主张
logicality,n. 逻辑性
loneliness,n. 寂寞，孤独
misconduct,"n. 不端行为；处理不当
vt. 处理不当；行为不检"
motivation,n. 动机；积极性；推动
naturalist,"n. 自然主义者；博物学者；（英）动物标本剥制者；买卖玩赏动物的商人
adj. 自然的（等于naturalistic）；自然主义的；博物学的"
negligence,n. 疏忽；忽视；粗心大意
partiality,n. 偏心；偏袒；偏爱；癖好
persuasion,n. 说服；说服力；信念；派别
propaganda,n. 宣传；传道总会
puzzlement,n. 迷惑；费解
recitation,n. 背诵；朗诵；详述；背诵的诗
refutation,n. 反驳；驳斥；辩驳
relaxation,n. 放松；缓和；消遣
reluctance,n.  磁阻；勉强；不情愿
renovation,n. 革新；修理；恢复活力
resentment,n. 愤恨，怨恨
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
simulation,n. 仿真；模拟；模仿；假装
solidarity,n. 团结，团结一致
standpoint,n. 立场；观点
strategist,n. 战略家；军事家
submission,n. 投降；提交（物）；服从；（向法官提出的）意见；谦恭
terminator,n. 终结者；终止子；明暗界限
vegetarian,"n. 素食者；食草动物
adj. 素食的"
wrongdoing,n. 坏事；不道德的行为
adolescence,n. 青春期
affirmation,n. 主张，肯定；断言
bureaucracy,n. 官僚主义；官僚机构；官僚政治
citizenship,n.  公民身份，公民资格；国籍；公民权
colonialism,n. 殖民主义；殖民政策
coordinator,n. 协调者； 协调器；同等的人或物
designation,n. 指定；名称；指示；选派
empowerment,n. 许可，授权
enslavement,n. 奴役
genealogist,n. 系谱学者；系谱专家
housekeeper,n. 女管家；主妇
inferiority,n. 自卑；下属；次等；下部
informality,n. 非正式；不拘礼节
inspiration,n. 灵感；鼓舞；吸气；妙计
involvement,n. 牵连；包含；混乱；财政困难
nationality,n. 国籍，国家；民族；部落
negotiation,n. 谈判；转让；顺利的通过
portraiture,n. 肖像画；肖像绘制；人像摄影
proficiency,n. 精通，熟练
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
resignation,n. 辞职；放弃；辞职书；顺从
speculation,n. 投机；推测；思索；投机买卖
spontaneity,n. 自发性；自然发生
superiority,n. 优越，优势；优越性
temperament,n. 气质，性情，性格；急躁
vaccination,n. 接种疫苗；种痘
announcement,n. 公告；宣告；发表；通告
confirmation,n. 确认；证实；证明；批准
conservatism,n. 保守主义；守旧性
immunization,n. 免疫
intimidation,n. 恐吓，威胁
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
overreliance,n. 过度信赖
entertainment,n. 娱乐；消遣；款待
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
oceanographer,n. 海洋学家；海洋研究者
unwillingness,n. 不愿意；不情愿
countermeasure,n. 对策；反措施；反抗手段
undervaluation,n. 低估；轻视；低估…之价值
democratisation,民主化
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
acre,n. 土地，地产；英亩
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
cape,n.  海角，岬；披肩
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
booth,n. 货摊；公用电话亭
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
chunk,n. 大块；矮胖的人或物
cigar,n. 雪茄
cliff,n. 悬崖；绝壁
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
relic,n. 遗迹，遗物；废墟；纪念物
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
vault,"n. 拱顶；撑竿跳；地下室
vi. 跳跃；成穹状弯曲
vt. 做成圆拱形；撑竿跳过"
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
annals,n. 年报；编年史；年鉴
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
clause,n. 条款； 子句
coupon,n. 息票；赠券；联票； 配给券
entity,n. 实体；存在；本质
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
intake,n. 摄取量；通风口；引入口；引入的量
layout,n. 布局；设计；安排；陈列
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
manual,"adj. 手工的；体力的
n. 手册，指南"
meadow,n. 草地；牧场
outset,n. 开始；开端
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
rhythm,n. 节奏；韵律
slogan,n. 标语；呐喊声
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
Uranus,n.  天王星
archive,"n. 档案馆；档案文件
vt. 把…存档"
baggage,n. 行李； 辎重（军队的）
bedrock,n.  基岩；根底；基本原理
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
highway,n. 公路，大路；捷径
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
luggage,n. 行李；皮箱
memento,n. 纪念品，引起回忆的东西
midwest,
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
remains,n. 残余；遗骸
renewal,n. 更新，恢复；复兴；补充；革新；续借；重申
tempest,"n. 暴风雨；骚动；动乱
vt. 使狂怒；扰乱，使激动
vi. 小题大作；起大风暴"
terrain,n.  地形，地势；领域；地带
textile,"n. 纺织品，织物
adj. 纺织的"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
tsunami,n. 海啸
backbone,n. 支柱；主干网；决心，毅力；脊椎
bulletin,"n. 公告，公报
vt. 公布，公告"
clawback,n. 挫折；弥补性收入
deletion,n. 删除； 缺失；删除部分
dinosaur,n. 恐龙；过时、落伍的人或事物
dispatch,"n. 派遣；急件
vt. 派遣；分派"
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
drawback,n. 缺点，不利条件；退税
ephemera,n. 蜉蝣
equation,n. 方程式，等式；相等； 反应式
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
pamphlet,n. 小册子
panorama,n. 全景，全貌；全景画；概论
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
workload,n. 工作量
aeroplane,n. 飞机（等于airplane）
