pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
fiber,n. 纤维；光纤（等于fibre）
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
energy,n.  能量；精力；活力；精神
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
scholar,n. 学者；奖学金获得者
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
dioxide,n. 二氧化物
Congress,
fraction,n. 分数；部分；小部分；稍微
meantime,"n. 其时，其间
adv. 同时；其间"
convention,n. 大会； 惯例； 约定； 协定；习俗
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
livelihood,n. 生计，生活；营生
conservative,
infrastructure,n. 基础设施；公共建设；下部构造
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
alter,"vt. 改变，更改
vi. 改变；修改"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
define,vt. 定义；使明确；规定
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
convey,vt. 传达；运输；让与
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
modify,"vt. 修改，修饰；更改
vi. 修改"
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
conceal,vt. 隐藏；隐瞒
utilize,vt. 利用
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
regulate,vt. 调节，规定；控制；校准；有系统的管理
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
eliminate,vt. 消除；排除
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
accomplish,vt. 完成；实现；达到
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
adequate,adj. 充足的；适当的；胜任的
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
explicit,adj. 明确的；清楚的；直率的；详述的
spontaneous,adj. 自发的；自然的；无意识的
badly,adv. 非常，很；严重地，厉害地；恶劣地
likewise,adv. 同样地；也
meanwhile,"adv. 同时，其间
n. 其间，其时"
worldwide,"adj. 全世界的
adv. 在世界各地"
versus,prep. 对；与...相对；对抗
norm,n. 标准，规范
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
stance,n. 立场；姿态；位置；准备击球姿势
hygiene,n. 卫生；卫生学；保健法
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
enact,vt. 颁布；制定法律；扮演；发生
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
prolong,vt. 延长；拖延
concede,"vi. 让步
vt. 承认；退让；给予，容许"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
intervene,vi. 干涉；调停；插入
deregulate,"vt. 解除对……的管制
vi. 解除控制"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
inherent,adj. 固有的；内在的；与生俱来的，遗传的
sinister,adj. 阴险的；凶兆的；灾难性的；左边的
ambiguous,adj. 模糊不清的；引起歧义的
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
pursuit,n. 追赶，追求；职业，工作
abdomen,n. 腹部；下腹；腹腔
employee,n. 雇员；从业员工
laughter,n. 笑；笑声
accuracy,n.  精确度，准确性
portrait,n. 肖像；描写；半身雕塑像
historian,n. 历史学家
reduction,n. 减少；下降；缩小；还原反应
ownership,n. 所有权；物主身份
formation,n. 形成；构造；编队
algorithm,n.  算法，运算法则
production,n. 成果；产品；生产；作品
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
connection,n. 连接；关系；人脉；连接件
automation,n. 自动化；自动操作
Republican,
acceptance,n. 接纳；赞同；容忍
assistance,n. 援助，帮助；辅助设备
requirement,n. 要求；必要条件；必需品
possibility,n. 可能性；可能发生的事物
improvement,n. 改进，改善；提高
replacement,n. 更换；复位；代替者；补充兵员
maintenance,n. 维护，维修；保持；生活费用
unemployment,n. 失业；失业率；失业人数
compensation,n. 补偿；报酬；赔偿金
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
foolish,adj. 愚蠢的；傻的
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
tropical,adj. 热带的；热情的；酷热的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
democratic,adj. 民主的；民主政治的；大众的
successive,adj. 连续的；继承的；依次的；接替的
controversial,adj. 有争议的；有争论的
instantaneous,adj. 瞬间的；即时的；猝发的
highly,adv. 高度地；非常；非常赞许地
possibly,adv. 可能地；也许；大概
owing,"adj. 未付的；欠着的
v. 欠；把…归功于（owe的ing形式）"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
union,n. 联盟，协会；工会；联合
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
faculty,n. 科，系；能力；全体教员
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
exposure,n. 暴露；曝光；揭露；陈列
operator,n. 经营者；操作员；话务员；行家
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
vengeance,n. 复仇；报复；报仇
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
hearty,"n. 朋友们；伙伴们
adj. 衷心的；丰盛的；健壮的；精神饱满的"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
equally,adv. 同样地；相等地，平等地；公平地
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
prudery,n. 假正经的行为；过分拘谨的言行
travail,"n. 分娩的痛苦；艰苦劳动
vi. 辛勤努力；经受分娩的阵痛"
emission,n. （光、热等的）发射，散发；喷射；发行
abdication,n. 辞职；退位
stockbroker,n.  股票经纪人
anachronism,n. 时代错误；不合潮流的人或物
conglomerate,"n.  砾岩；企业集团；聚合物
vi. 凝聚成团
adj. 成团的；砾岩性的
vt. 使聚结；凝聚成团"
daguerreotype,"n. 银版照相法
vt. 用银板照相法照相"
apprenticeship,n. 学徒期；学徒身分
gurn,  古恩
concur,vi. 同意；一致；互助
meddle,vi. 管闲事，干预他人之事
preempt,vt. 先占；先取；以先买权获得
aerobic,adj. 需氧的；增氧健身法的
impending,"adj. 即将发生的；迫切的；悬挂的
v. 迫近；悬空（impend的现在分词）"
inclement,adj. 险恶的；气候严酷的；狂风暴雨的
Victorian,"n. 维多利亚时代；维多利亚女王时代的人
adj. 维多利亚女王时代的；英国维多利亚女王时代的"
taxpayer,n. 纳税人；所收租金只够支付地产税的建筑物
backdrop,n. 背景；背景幕；交流声
pushback,n. 飞机推迟起飞
lifestyle,"n. 生活方式
保健的"
broadband,"n. 宽频；宽波段
adj. 宽频带的；宽波段的；宽频通讯的"
wellbeing,n. 幸福；福利；安乐
lifeblood,n. 生机的根源；生命必须的血液；命脉；命根子
timetable,n. 时间表；时刻表；课程表
watershed,"n. （美）流域；分水岭；集水区；转折点
adj. 标志转折点的"
turnaround,n. 转变；转向；突然好转；回车道
back-and-forth,反复地，来回地
video-streaming, 视频流；视讯串流；影像川流技术
web-based,
makeshift,"n. 权宜之计；凑合；临时措施；将就
adj. 临时的；权宜之计的；凑合的"
party-line,n. 共同线；汇流；多线组
deep-rooted,adj. 根深蒂固的
ever-rising,"不断上涨的
不断增长的
不断上升的"
middle-aged,adj. 中年的；具有中年人特点的；适合于中年人的
out-of-date,adj. 过时的
long-running,adj. 长期上演的；连续上演很长时间的
doom-and-gloom,na. 前景暗淡
thought-provoking,adj. 发人深省的；引起思考的
Mediterranean-style,
aging,n. 老化；陈化，熟化
ruling,"n. 统治，支配；裁定
adj. 统治的；主要的；支配的；流行的，普遍的"
sitter,n. 代人临时看管小孩的人；当模特儿的人；坐着的人
distrust,"n. 不信任
vt. 不信任
怀疑"
commuter,n. 通勤者，经常乘公共车辆往返者； 月季票乘客
economist,n. 经济学者；节俭的人
performer,n. 演出者；执行者；演奏者
traveller,n. 旅行者
detection,n. 侦查，探测；发觉，发现；察觉
pensioner,n. 领养老金者；领取抚恤金者
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
prediction,n. 预报；预言
partiality,n. 偏心；偏袒；偏爱；癖好
supervision,n. 监督，管理
disapproval,n. 不赞成；不喜欢
empowerment,n. 许可，授权
sensitiveness,n. 神经过敏
treatment,n. 治疗，疗法；处理；对待
analytics,n.  分析学；解析学
causality,n. 因果关系
dentistry,n. 牙科学；牙医业
neutrality,n. 中立；中性；中立立场
triviality,n. 浅薄，轻浮；琐事；平凡
consultancy,n. 咨询公司；顾问工作
measurement,n. 测量； 度量；尺寸；量度制
portraiture,n. 肖像画；肖像绘制；人像摄影
accumulation,n. 积聚，累积；堆积物
manufacturing,"adj. 制造的；制造业的
n. 制造业；工业
v. 制造；生产（manufacture的ing形式）"
socialization,n. 社会化，社会主义化
transportation,n. 运输；运输系统；运输工具；流放
nationalisation,n. 国有化，国营
transferability,n. 可转移性；可转让性
rearing,"n. 饲养；养育；抚养
v. 抚养；建立（rear的ing形式）；竖起"
provider,n. 供应者；养家者
immunity,n. 免疫力；豁免权；免除
openness,n. 公开；宽阔；率真
inequality,n. 不平等；不同；不平均
governance,n. 管理；统治；支配
adjustment,n. 调整，调节；调节器
separation,n. 分离，分开；间隔，距离； 分居；缺口
disruption,n. 破坏，毁坏；分裂，瓦解
photography,n. 摄影；摄影术
alleviation,n. 缓和；镇痛物
degradation,n. 退化；降格，降级；堕落
commonality,n. 公共；共性；平民
correlation,n.  相关，关联；相互关系
coordination,n. 协调，调和；对等，同等
deforestation,n. 采伐森林；森林开伐
manifestation,n. 表现；显示；示威运动
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
remake,"vt. 再制
n. 重做；重制物"
blacken,"vt. 使变黑；诽谤，诋毁
vi. 变黑"
unhinge,vt. 使分开；取下…的铰链；使发狂或错乱
optimize,"vt. 使最优化，使完善
vi. 优化；持乐观态度"
subsidise,vt. 给…津贴或补贴，资助或补助…
diversify,vt. 使多样化，使变化；增加产品种类以扩大
socialize,"vt. 使社会化；使社会主义化；使适应社会生活
vi. 交际；参与社交"
outperform,vt. 胜过；做得比……好
re-evaluate,重估
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
unfair,adj. 不公平的，不公正的
unable,adj. 不会的，不能的； 无能力的；不能胜任的
cheesy,adj. 干酪质的；下等的；漂亮的
pearly,adj. 珍贵的；珍珠似的；生产珍珠的；用珍珠装饰的
toothy,adj. 露出牙齿的；有凸牙的
magical,adj. 魔术的；有魔力的
blurred,"v. 玷污；使…模糊不清；使感觉迟钝（blur的过去式和过去分词）
adj. 模糊不清的；被弄污的"
cramped,"v. 用夹钳夹；约束（cramp的过去分词）
adj. 狭窄的；难懂的；难辨的"
shocking,"adj. 令人震惊的；可怕的，令人厌恶的；糟糕的
v. 感到震惊；震动；冲突（shock的ing形式）"
regional,adj. 地区的；局部的；整个地区的
forested,"adj. 草木丛生的
v. 植树于（forest的过去式和过去分词）"
misguided,"adj. 被误导的
v. 使入歧途（misguide的过去分词）"
abdominal,adj. 腹部的；有腹鳍的
unhealthy,adj. 不健康的；危险的；有害身心健康的
unreliable,adj. 不可靠的；靠不住的
affiliated,"v. 使隶属；加入（affiliate的过去分词）
adj. 附属的；有关连的"
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
antipoverty,"adj. 反贫穷的
n. 反贫穷的<美>（尤指政府倡议的）反贫穷计划"
conditional,"n. 条件句；条件语
adj. 有条件的；假定的"
preoccupied,"v. 抢先占有；使…全神贯注（preoccupy的过去式）
adj. 全神贯注的；心事重重的；被先占的"
photographic,adj. 摄影的；逼真的；（尤指记忆）详细准确的
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
unreasonable,adj. 不合理的；过度的；不切实际的；非理智的
attributable,adj. 可归于…的；可归属的
deregulatory,解除管制的
technological,adj. 技术的；工艺的
environmental,adj. 环境的，周围的；有关环境的
non-committal,adj. 态度不明朗的；不承担义务的；无明确意义的
post-Victorian, 后维多利亚
anti-regulatory, 反管制的
anti-competitive,adj. 反竞争的
slowly,adv. 缓慢地，慢慢地
grimly,adv. 可怕地；冷酷地；严格地
rapidly,adv. 迅速地；很快地；立即
roughly,adv. 粗糙地；概略地
rightly,adv. 正确地；恰当地；公正地；合适地
stiffly,adv. 生硬地；顽固地；呆板地
suddenly,adv. 突然地；忽然
absently,adv. 心不在焉地
unevenly,adv. 不均衡地；不平坦地；不平行地
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
similarly,adv. 同样地；类似于
logically,adv. 逻辑上；合乎逻辑
miserably,adv. 贫困地；可悲地；糟糕地；非常不幸地
negatively,adv. 消极地；否定地
abstractly,adv. 抽象地；理论上地
accurately,adv. 精确地，准确地
informally,adv. 非正式地；不拘礼节地
notoriously,adv. 众所周知地；声名狼藉地；恶名昭彰地
unanimously,adv. 全体一致地
differently,adv. 不同地；差异；各种
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
indefinitely,adv. 不确定地，无限期地；模糊地，不明确地
accidentally,adv. 意外地；偶然地
incompetently,adv. 无能力地；不胜任地
alternatively,adv. 非此即彼；二者择一地；作为一种选择
predominantly,adv. 主要地；显著地
including,prep. 包含，包括
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
besides,"prep. 除…之外
adv. 此外；而且"
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
army,n. 陆军，军队
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
action,n. 行动；活动；功能；战斗；情节
artist,n. 艺术家；美术家（尤指画家）；大师
London,n. 伦敦
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
British,"n. 英国人
adj. 英国的；英国人的；大不列颠的"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
manager,n. 经理；管理人员
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
visitor,n. 访问者，参观者；视察者；候鸟
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
journey,"n. 旅行；行程
vi. 旅行"
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
communication,n. 通讯， 通信；交流；信函
rose,"n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒
adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的
vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味
vi. 起义( rise的过去式)；升起；（数量）增加；休会"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
planet,n. 行星
museum,n. 博物馆
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
college,n. 大学；学院；学会
classroom,n. 教室
watermelon,n. 西瓜
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
danger,n. 危险；危险物，威胁
November,n. 十一月
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
difficulty,n. 困难，困境
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
invite,"n. 邀请
vt. 邀请，招待；招致"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
afford,vt. 给予，提供；买得起
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
discover,"vi. 发现
vt. 发现；发觉"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
dead,"n. 死者
adj. 无生命的；呆板的；废弃了的
adv. 完全地"
proud,adj. 自豪的；得意的；自负的
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
similar,"n. 类似物
adj. 相似的"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
anyway,adv. 无论如何，不管怎样；总之
everywhere,"n. 每个地方
adv. 到处"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
zero,"num. 零
n. 零点，零度"
thousand,"n. 一千；一千个；许许多多
adj. 成千的；无数的"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
poet,n. 诗人
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
species,"n.  物种；种类
adj. 物种上的"
failure,n. 失败；故障；失败者；破产
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
emperor,n. 皇帝，君主
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
audience,n. 观众；听众；读者；接见；正式会见；拜会
creature,n. 动物，生物；人；创造物
sympathy,n. 同情；慰问；赞同
educator,n. 教育家；教育工作者；教师
authority,n. 权威；权力；当局
reputation,n. 名声，名誉；声望
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
recognition,n. 识别；承认，认出；重视；赞誉；公认
conservation,n. 保存，保持；保护
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
tale,n. 故事；传说；叙述；流言蜚语
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
scene,n. 场面；情景；景象；事件
route,"n. 路线；航线；通道
vt. 按某路线发送"
aspect,n. 方面；方向；形势；外貌
campus,n. （大学）校园；大学，大学生活；校园内的草地
salary,"n. 薪水
vt. 给...加薪；给...薪水"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
version,n. 版本；译文；倒转术
biology,n. （一个地区全部的）生物；生物学
habitat,n.  栖息地，产地
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
capacity,n. 能力；容量；资格，地位；生产力
chemical,"n. 化学制品，化学药品
adj. 化学的"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
symphony,n. 交响乐；谐声，和声
procedure,n. 程序，手续；步骤
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
collection,n. 采集，聚集； 征收；收藏品；募捐
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
electricity,n. 电力；电流；强烈的紧张情绪
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
extent,n. 程度；范围；长度
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
outcome,n. 结果，结局；成果
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
contribution,n. 贡献；捐献；投稿
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
