boy,n. 男孩；男人
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
dad,n. 爸爸；爹爹
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
leg,n. 腿；支柱
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
mom,n. 妈妈
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
coat,"n. 外套
vt. 覆盖…的表面"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
girl,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔"
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
idea,n. 想法；主意；概念
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
China,"n. 中国
n. china，瓷器
adj. 中国的；中国制造的
adj. china，瓷制的"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
woman,n. 妇女；女性；成年女子
driver,n. 驾驶员；驱动程序；起子；传动器
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
farmer,n. 农夫，农民
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
friend,n. 朋友；助手；赞助者
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
school,"n. 学校；学院；学派；鱼群
vt. 教育"
worker,n. 工人；劳动者；职蚁
Chinese,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的"
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
teacher,n. 教师；导师
birthday,n. 生日，诞辰；诞生的日子
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
TV,abbr. 电视（television）
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
bus,"n. 公共汽车
乘公共汽车"
car,n. 汽车；车厢
cat,n. 猫，猫科动物
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
boat,"n. 小船；轮船
vi. 划船"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
door,n. 门；家，户；门口；通道
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
bread,"n. 面包；生计
vt. 在…上洒面包屑"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
plane,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
river,n. 河，江
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
tiger,n. 老虎；凶暴的人
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
street,"n. 街道
adj. 街道的"
window,n. 窗；窗口；窗户
computer,n. 计算机；电脑；电子计算机
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
city,"n. 城市，都市
adj. 城市的；都会的"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
food,n. 食物；养料
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
hour,n. 小时；钟头；课时；…点钟
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
news,n. 新闻，消息；新闻报导
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
song,n. 歌曲；歌唱；诗歌；鸣声
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
week,n. 周，星期
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
email,"n. 电子信函
vt. 给…发电子邮件"
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
month,n. 月，一个月的时间
music,n. 音乐，乐曲
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
photo,n. 照片
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
today,"n. 今天；现今
adv. 今天；现今"
animal,"n. 动物
动物的"
dinner,n. 晚餐，晚宴；宴会；正餐
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
morning,n. 早晨；黎明；初期
color,"n. 颜色；肤色；颜料；脸色
vt. 粉饰；给...涂颜色；歪曲
vi. 变色；获得颜色"
colour,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色"
be,vt. 是； 有，存在； 做，成为； 发生
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
sit,"vi. 坐；位于
vt. 使就座"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
sing,"n. 演唱；鸣声；呼啸声
vt. 唱；用诗赞颂；唱着使
vi. 唱歌；歌颂；鸣叫；呼号"
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
begin,"vi. 开始；首先
vt. 开始"
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
dance,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
sleep,"n. 睡眠
vi. 睡，睡觉"
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
thank,"n. 感谢
vt. 感谢
int. 谢谢"
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
cannot,v. 不能；无法
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
nice,adj. 精密的；美好的；细微的；和蔼的
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
early,"adj. 早期的；早熟的
adv. 提早；在初期"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
happy,adj. 幸福的；高兴的；巧妙的
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的"
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
afraid,adj. 害怕的；恐怕；担心的
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
healthy,adj. 健康的，健全的；有益于健康的
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
difficult,adj. 困难的；不随和的；执拗的
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
not,"adv. 表示否定，不
n. “非”（计算机中逻辑运算的一种）"
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
too,adv. 太；也；很；还；非常；过度
why,"int. 哎呀！什么？
adv. 为什么"
also,"conj. 并且；另外
adv. 也；而且；同样"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
when,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯"
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
often,adv. 常常，时常
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
always,adv. 永远，一直；总是；常常
sometimes,adv. 有时，间或
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
hers,pron. 她的（所有格）
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
ours,pron. 我们的
whom,pron. 谁（who的宾格）
other,"adj. 其他的，另外的
pron. 另外一个"
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些"
yours,"pron. 你（们）的东西；你的责任；你的家属；来信，尊函
adj. 你（们）的（东西）；信末署名前用语"
itself,pron. 它自己；它本身
myself,pron. 我自己；我亲自；我的正常的健康状况和正常情绪
herself,pron. 她自己（she的反身代词）；她亲自
himself,pron. 他自己；他亲自，他本人
themselves,pron. 他们自己；他们亲自
nobody,"pron. 无人，没有人；没有任何人
n. 无名小卒；小人物"
anybody,"n. 重要人物
pron. 任何人"
somebody,"n. 大人物；重要人物
pron. 有人；某人"
anyone,pron. 任何人；任何一个
someone,pron. 有人，某人
everyone,"n. 每个人
pron. 每个人；人人"
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
anything,pron. 任何事
something,"n. 重要的人；值得重视的事
adj. 大约；有点象
adv. 非常；有点；大约
pron. 某事；某物"
everything,pron. 每件事物；最重要的东西；（有关的）一切；万事
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
two,"num. 二
n. 两个
adj. 两个的"
three,"num. 三
n. 三，三个
adj. 三的，三个的"
four,"num. 四；四个
adj. 四的；四个的"
five,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的"
six,"num. 六，六个
n. 六，六个"
seven,"num. 七个，七
n. 七个，七
adj. 七的；七个的"
eight,"num. 八；八个；第八
n. 八字形
adj. 八的"
nine,"n. 九，九个
num. 九；九个
adj. 九的，九个的"
ten,num. 十个，十
twelve,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的"
fifteen,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的"
twenty,"num. 二十
n. 二十；二十年代
adj. 二十的"
fifty,"n. 五十；五十个；编号为50的东西
adj. 五十的；五十个的；众多的"
sixty,num. 六十；六十个
eighty,"num. 八十
n. 八十；八十岁；八十年代
adj. 八十的，八十个的；八十岁的"
ninety,"n. 九十
adj. 九十的；九十岁的
num. 九十"
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
third,"num. 第三；三分之一
adj. 第三的；三分之一的"
fifth,"num. 第五
n. 第五；五分之一
adj. 第五的；五分之一的"
sixth,"n. 月的第六日，（与the连用的）第六个；六分之一
adj. （与 the 连用）第六的，第六个的；六分之一的"
tenth,"num. 第十；十分之一
adj. 十分之一的；第十个的"
into,prep. 到…里；深入…之中；成为…状况；进入到…之内
